Symbol	GSM3446059	GSM3446060	GSM3446061	GSM3446062	GSM3446063	GSM3446064	GSM3446065	GSM3446066	GSM3446067	GSM3446068	GSM3446069	GSM3446070
lnc-SLC48A1-1	-2.24624490214058	-1.3512408185739	-2.36238560822961	-2.682424787121	-1.66111808691326	-0.792771068840789	-2.71252135683834	-2.25253958376671	-2.1251765310523	-2.12936360820911	-2.14545532648392	-2.19918298225989
lnc-SLC7A7-1	-2.70069847885817	-1.35710361689465	-1.90789481544554	-2.47009345491641	-1.30860757969326	-0.352708368354345	-2.96333175553254	-2.79699091260677	-2.3656119572608	-3.17326377699313	-2.57561241937716	-2.69501192997655
lnc-SOD2-1	-2.65042894605645	-1.386553806773	-2.58939338730116	-2.81560612490589	-1.68762332220369	-0.830763026648015	-2.98551065277059	-2.49026571596578	-2.76198141912135	-3.18286774265341	-3.04784771633925	-2.25285656922173
lnc-SPATA6-1	-2.95423037582032	-1.54939494209704	-1.90634709739116	-2.98069783918045	-1.86670212778942	-0.998822661132377	-3.19855019710571	-3.31054066699678	-2.48051063842031	-2.93581517726884	-2.33639744175187	-2.83287825220576
lnc-SPRY2-4	-2.69892512652093	-1.3056379525685	-2.50181854511872	-2.73542854591978	-1.60035734090005	-0.737566824282958	-2.89274648132119	-2.54742505593253	-2.40760029050327	-3.08978716156683	-2.954132488791	-2.61647035671924
lnc-STK32C-2	-2.69336615140192	-1.28362671758982	-2.50366411625509	-2.7422998564624	-1.38008029647408	-0.770401692034281	-2.88119587140209	-2.62198045105411	-2.71070613998746	-3.1488733831688	-2.22566745094779	-2.67811601301607
lnc-SUCLA2-6	-2.6804379280423	-1.2876927893483	-2.47465090815171	-2.7150905714503	-1.5800052249408	-0.725845844271388	-2.88975020510013	-2.99630501754052	-2.66831117518082	-2.31750113611401	-2.94874376949512	-2.6068357495019
lnc-TCF7L2-1	-2.67614898426292	-0.900399207440123	-2.48027282455853	-2.71490014096343	-1.59664973830751	-0.749987201210032	-2.91391132941896	-3.03273464504757	-2.70039247398057	-2.23271317598085	-2.54288383802636	-2.66405014836299
lnc-TEAD4-2	-2.9166556939704	-1.52440213398812	-2.36883790402057	-2.96126510986695	-1.83413100116156	-0.972322051417698	-2.32728020258753	-3.2961350454554	-2.9631547119665	-3.38812526528961	-2.72089914638211	-2.80455978540462
lnc-THSD4-2	-2.68061210713874	-1.26486315436165	-2.47550466330754	-2.7069101112517	-1.58435167000905	-0.75549195611789	-2.87483721415945	-2.92717343224451	-2.65088198814361	-2.26173266373693	-2.9456609875146	-2.60517025351101
lnc-TLE2-1	-2.67456661576229	-1.25943206959559	-2.47087077121184	-2.70265683150277	-1.58022827794064	-0.753762763292233	-2.8708776781959	-2.48325037017666	-2.64856306833416	-3.09132740395288	-2.54806497822986	-2.60264345001326
lnc-TLR5-1	-2.93587894204665	-1.52439561739785	-2.73326149168276	-2.96711354411041	-1.85610931056678	-0.980994706698433	-2.85694924494121	-3.31476566264175	-2.98059456893355	-3.41593812453916	-2.41534100956438	-2.93823011213534
lnc-TMEM106A-1	-2.68133326809996	-1.27274798165284	-2.48926758887535	-2.73045556207301	-1.59323053934561	-0.697012238281695	-2.68662619777037	-3.01034098302425	-2.67839327260724	-2.34650483892901	-2.97400827758307	-2.64582734655215
lnc-TMEM132B-3	-2.80463964531644	-1.39431442536357	-2.60112689274129	-2.83156994650734	-1.70544668302949	-0.838552078804717	-2.93460514585792	-3.13870062597201	-2.79357826964703	-3.22884092866382	-2.74141543627647	-2.46472372618618
lnc-TMEM14A-2	-2.9404623106044	-1.53738089956023	-1.84029980490722	-2.50094663327502	-1.86467404699099	-0.756476295723836	-3.19668340833557	-2.49302741815177	-2.98240408971869	-2.69466706116528	-2.50642227983599	-2.21805399936573
lnc-TMEM160-1	-2.57631535943437	-1.26084012759568	-2.24121834662017	-2.13801185154075	-1.59894457062223	-0.732915530358805	-2.52024142666111	-2.43981374635712	-2.73274786295533	-3.17989898760407	-1.64844816893494	-2.69981104138844
lnc-TNFRSF17-2	-1.50654423291619	-1.28450228156367	-2.02149305469655	-1.85758392402402	-0.967116739404585	-0.752670918633817	-1.99182673179246	-1.42908872865626	-1.6987374407009	-1.99328004373511	-2.42919053689753	-1.38812220661212
lnc-TPTE-3	2.26139586501017	3.48821674531434	2.35911097160354	2.30972125491441	3.02518507114811	4.16229614006206	2.12402116394584	2.03176362078846	2.32407106443584	2.22370058052843	2.18682431876298	2.33718069602702
lnc-TRIM41-1	-2.70349499183926	-1.22450615133275	-2.34571342910437	-2.74839205569975	-1.75179361453093	-0.891127308181507	-2.89475436148905	-2.80837202675058	-2.40973312753448	-2.6562245391974	-2.45657195957276	-2.46569316462943
lnc-TRIM41-3	0.249198031458921	1.76624657212965	0.540753131328345	0.599268971021639	1.05886512325649	2.00374828685043	0.361058502093516	0.142134029359662	0.5353058926423	0.0202496562853994	0.239036807358971	0.392775461021843
lnc-TRMT112-1	-2.80105489857447	-1.37546019522144	-2.58752375869643	-2.81600559721883	-1.70426190494662	-0.851571305225973	-3.08770173976111	-2.24231657222112	-2.86866544376216	-2.90477466153556	-3.16527226370324	-2.81859012342602
lnc-TSC22D1-1	0.139062131187608	0.730691324793846	0.424729166001004	0.372191982839285	0.471940832072777	0.746891650593749	0.141533272642999	0.408170349640415	0.39869477369583	0.0261518650869423	0.198868071438556	0.323868966109695
lnc-TTC27-1	-2.82456935454431	-1.5155699842961	-2.71878281510907	-2.95554352909424	-1.67249806911334	-0.2974880121343	-3.07414522500197	-2.87215815124838	-2.86496863095164	-3.3618175177125	-3.0023266151772	-2.87499161302228
lnc-VRK1-1	-2.7329959398513	-1.33552569832743	-2.53375945511935	-2.76374970966218	-1.63173812409912	-0.775572777059332	-2.92878340962792	-3.0377705491109	-2.70614100477791	-2.38968292462986	-2.98961567812199	-2.6510498755909
lnc-WDR4-1	0.55518981977255	1.82743783361448	1.02582871511127	0.395698199425455	1.47095695191125	2.36826099956351	0.354361265247224	0.85867044993073	0.821558864814774	-0.0646047654650115	0.533094339529546	0.589100340541197
lnc-XPR1-1	-2.67765077170418	-1.29559542952472	-2.48900862740652	-2.73070281004071	-1.37506953584918	-0.700280081319326	-2.87891583823857	-2.84073929712956	-2.66195563823224	-3.08086177873928	-2.09071696704308	-2.6089002073737
lnc-XRCC3-1	-2.51963942752602	-1.00132000317015	-1.87645407346395	-2.58624734907785	-1.69077563869902	-0.777142169969645	-2.62856992617971	-2.95476408812015	-2.55994640114393	-2.85826474394055	-2.16243717294394	-2.32025706145671
lnc-ZDHHC9-1	-2.67768535971984	-1.28299546714438	-2.46661234767785	-2.71194112092267	-1.57300429597516	-0.730752564340479	-2.91772563110134	-3.03437148541193	-2.70043459359576	-2.66149441701611	-2.91033128254009	-2.19175529516443
lnc-ZFAND2A-1	-2.85219771731356	-1.45209426840391	-2.65200606784235	-2.88006397014625	-1.75741617753386	-0.900605855202097	-2.55767427814239	-3.19206891240053	-2.85471211437004	-2.61043705697526	-3.14543585971005	-2.80240084840512
lnc-ZNF236-1	-1.57524899815101	0.113743881244097	-1.97912062171904	-2.02756934784691	-0.542573889564536	0.357085187617286	-0.944226568522134	-0.957367524477685	-0.447762206622058	-1.48371312282135	-1.10789476425026	-0.249508547408627
lnc-ZNF687-1	-2.70173452702444	-1.29111790662003	-2.50380440892089	-1.62155364237254	-1.60557244299661	-0.753774338129595	-1.85561863078261	-2.33136886974545	-2.68496430786264	-3.1254183830507	-2.98110680898111	-2.21289012173341
lnc-ZNF708-1	-2.65452925901524	-1.32988521146381	-2.55040469672325	-2.78624670530864	-1.66832714622026	-0.805700003406083	-3.00045995143251	-3.12138336887072	-2.79030383231696	-3.23131074400613	-1.88084149471318	-2.75812204702491
lnc-ZNF71-3	-2.66749777411202	-1.25404347449335	-2.47384776133469	-2.70924360292297	-1.58861258768305	-0.746235531413563	-2.89763525332655	-2.47536374449561	-2.68591759912994	-2.72599024568303	-2.84674506725576	-2.64967327994393
LOC100034248	-2.32375193841276	-1.37577834871055	-2.48167900823162	-2.82458189938288	-1.68232109494897	-0.83479326211107	-2.70746803559344	-3.18673148451775	-2.62716394316342	-2.87028989900052	-2.29672675660559	-2.35901677684856
